2023-09-03 22:03:54,978 [main] INFO  c.m.l.M.MqListenerApplication - Starting MqListenerApplication using Java 17.0.5 with PID 26194 (/home/fergus/eclipse-workspace/MQ-listener/target/classes started by fergus in /home/fergus/eclipse-workspace/MQ-listener)
2023-09-03 22:03:54,980 [main] INFO  c.m.l.M.MqListenerApplication - No active profile set, falling back to 1 default profile: "default"
2023-09-03 22:03:55,575 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2023-09-03 22:03:55,579 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-09-03 22:03:55,581 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-09-03 22:03:55,581 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2023-09-03 22:03:55,648 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-09-03 22:03:55,649 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 643 ms
2023-09-03 22:03:56,422 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-09-03 22:03:56,437 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2023-09-03 22:03:56,786 [main] INFO  c.m.l.M.MqListenerApplication - Started MqListenerApplication in 1.977 seconds (process running for 2.296)
2023-09-03 22:04:40,521 [org.springframework.jms.JmsListenerEndpointContainer#3-1] WARN  c.m.l.M.p.StatisticsProcessor - Spike in activity detected for QMGR: PutGetRate = 1771.5 per minute, ConnRate = 231.0 per minute
2023-09-03 22:04:40,525 [org.springframework.jms.JmsListenerEndpointContainer#3-1] INFO  c.m.l.M.p.StatisticsProcessor - New issue detected and added for queue: "<QMGR>"
2023-09-03 22:04:40,559 [org.springframework.jms.JmsListenerEndpointContainer#3-1] WARN  c.m.l.M.p.StatisticsProcessor - Spike in PUT activity detected for queue DEV.QUEUE.1: Rate = 751.5 per minute
2023-09-03 22:04:40,560 [org.springframework.jms.JmsListenerEndpointContainer#3-1] INFO  c.m.l.M.p.StatisticsProcessor - New issue detected and added for queue: DEV.QUEUE.1
2023-09-03 22:05:20,655 [org.springframework.jms.JmsListenerEndpointContainer#3-1] WARN  c.m.l.M.p.StatisticsProcessor - Spike in activity detected for QMGR: PutGetRate = 1803.0 per minute, ConnRate = 12.0 per minute
2023-09-03 22:05:20,656 [org.springframework.jms.JmsListenerEndpointContainer#3-1] INFO  c.m.l.M.p.StatisticsProcessor - New issue detected and added for queue: "<QMGR>"
2023-09-03 22:05:20,688 [org.springframework.jms.JmsListenerEndpointContainer#3-1] WARN  c.m.l.M.p.StatisticsProcessor - Spike in PUT activity detected for queue DEV.QUEUE.1: Rate = 1654.5 per minute
2023-09-03 22:05:20,688 [org.springframework.jms.JmsListenerEndpointContainer#3-1] INFO  c.m.l.M.p.StatisticsProcessor - New issue detected and added for queue: DEV.QUEUE.1
2023-09-03 22:06:00,565 [org.springframework.jms.JmsListenerEndpointContainer#3-1] WARN  c.m.l.M.p.StatisticsProcessor - Spike in activity detected for QMGR: PutGetRate = 384.0 per minute, ConnRate = 7.5 per minute
2023-09-03 22:06:00,566 [org.springframework.jms.JmsListenerEndpointContainer#3-1] INFO  c.m.l.M.p.StatisticsProcessor - New issue detected and added for queue: "<QMGR>"
2023-09-03 22:06:00,599 [org.springframework.jms.JmsListenerEndpointContainer#3-1] WARN  c.m.l.M.p.StatisticsProcessor - Spike in PUT activity detected for queue DEV.QUEUE.1: Rate = 304.5 per minute
2023-09-03 22:06:00,599 [org.springframework.jms.JmsListenerEndpointContainer#3-1] INFO  c.m.l.M.p.StatisticsProcessor - New issue detected and added for queue: DEV.QUEUE.1
2023-09-03 22:06:40,886 [org.springframework.jms.JmsListenerEndpointContainer#3-1] WARN  c.m.l.M.p.StatisticsProcessor - Spike in activity detected for QMGR: PutGetRate = 340.5 per minute, ConnRate = 4.5 per minute
2023-09-03 22:06:40,887 [org.springframework.jms.JmsListenerEndpointContainer#3-1] INFO  c.m.l.M.p.StatisticsProcessor - New issue detected and added for queue: "<QMGR>"
2023-09-03 22:06:40,964 [org.springframework.jms.JmsListenerEndpointContainer#3-1] WARN  c.m.l.M.p.StatisticsProcessor - Spike in PUT activity detected for queue DEV.QUEUE.1: Rate = 303.0 per minute
2023-09-03 22:06:40,964 [org.springframework.jms.JmsListenerEndpointContainer#3-1] INFO  c.m.l.M.p.StatisticsProcessor - New issue detected and added for queue: DEV.QUEUE.1
